,Unnamed: 0,readable,energies
10,10,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 5, 'O': 7, 'F': 15, 'Mg': 5, 'Si': 2}; SpaceGroup = 189 | P-62m | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -62m; LatticeParameters = (12.444851475208997, 12.444851475208997, 69.66102336645126), (90.0, 90.0, 120.0)",-3.233417510986328
11,11,"Stage.LATTICE_PARAMETERS; Composition = {'H': 1, 'O': 16, 'F': 13, 'Mg': 9, 'Si': 6}; SpaceGroup = 189 | P-62m | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -62m; LatticeParameters = (1.0353048906312323, 1.0353048906312323, 72.54580807685852), (90.0, 90.0, 120.0)",-3.3996055126190186
12,12,"Stage.LATTICE_PARAMETERS; Composition = {'O': 10, 'F': 15, 'Mg': 3, 'Si': 6, 'P': 2}; SpaceGroup = 6 | P1m1 | monoclinic (2) | polar (3) | domatic | m; LatticeParameters = (2.0509282449260353, 17.13214300870895, 95.61930714249611), (90.0, 131.7313253879547, 90.0)",-3.588610410690308
13,13,"Stage.LATTICE_PARAMETERS; Composition = {'O': 9, 'F': 13, 'Mg': 12, 'Si': 1, 'Fe': 1}; SpaceGroup = 187 | P-6m2 | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -6m2; LatticeParameters = (10.40849880501628, 10.40849880501628, 63.524362784624095), (90.0, 90.0, 120.0)",-3.2211241722106934
14,14,"Stage.LATTICE_PARAMETERS; Composition = {'H': 2, 'O': 8, 'F': 14, 'Mg': 16}; SpaceGroup = 86 | P4_2/n | tetragonal (4) | centrosymmetric (2) | tetragonal-dipyramidal | 4/m; LatticeParameters = (4.93107444010675, 4.93107444010675, 88.28509190678596), (90.0, 90.0, 90.0)",-3.361289501190185
15,15,"Stage.LATTICE_PARAMETERS; Composition = {'O': 4, 'F': 9, 'Mg': 4, 'Si': 4, 'Fe': 1}; SpaceGroup = 187 | P-6m2 | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -6m2; LatticeParameters = (3.323961725272238, 3.323961725272238, 51.40098034739494), (90.0, 90.0, 120.0)",-2.9955739974975586
16,16,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 2, 'O': 8, 'F': 16, 'Mg': 5, 'Si': 4}; SpaceGroup = 147 | P-3 | trigonal-hexagonal (6) | centrosymmetric (2) | rhombohedral | -3; LatticeParameters = (8.16530848518014, 8.16530848518014, 22.14028046876192), (90.0, 90.0, 120.0)",-3.4175779819488525
17,17,"Stage.LATTICE_PARAMETERS; Composition = {'O': 9, 'F': 11, 'Mg': 11, 'Si': 5, 'P': 2}; SpaceGroup = 189 | P-62m | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -62m; LatticeParameters = (9.394736341387034, 9.394736341387034, 27.212648692727086), (90.0, 90.0, 120.0)",-3.019918441772461
18,18,"Stage.LATTICE_PARAMETERS; Composition = {'H': 2, 'O': 10, 'F': 16, 'Mg': 8, 'Si': 8}; SpaceGroup = 192 | P6/mcc | hexagonal (7) | centrosymmetric (2) | dihexagonal-dipyramidal | 6/mmm; LatticeParameters = (7.329015699028969, 7.329015699028969, 97.95986105799675), (90.0, 90.0, 120.0)",-3.4815828800201416
19,19,"Stage.LATTICE_PARAMETERS; Composition = {'N': 3, 'F': 14, 'Mg': 5, 'P': 3, 'Cl': 3}; SpaceGroup = 189 | P-62m | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -62m; LatticeParameters = (11.143652798980474, 11.143652798980474, 75.30091445446014), (90.0, 90.0, 120.0)",-2.784391403198242
20,20,"Stage.LATTICE_PARAMETERS; Composition = {'C': 1, 'O': 2, 'F': 16, 'Mg': 13}; SpaceGroup = 147 | P-3 | trigonal-hexagonal (6) | centrosymmetric (2) | rhombohedral | -3; LatticeParameters = (17.259542785584923, 17.259542785584923, 95.13575711250306), (90.0, 90.0, 120.0)",-3.185359477996826
21,21,"Stage.LATTICE_PARAMETERS; Composition = {'O': 8, 'F': 16, 'Mg': 4, 'Si': 6, 'P': 3}; SpaceGroup = 189 | P-62m | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -62m; LatticeParameters = (6.913743712380528, 6.913743712380528, 49.7569114267826), (90.0, 90.0, 120.0)",-3.334807872772217
22,22,"Stage.LATTICE_PARAMETERS; Composition = {'O': 4, 'F': 12, 'Mg': 6, 'Si': 4, 'P': 2}; SpaceGroup = 163 | P-31c | trigonal-hexagonal (6) | centrosymmetric (2) | ditrigonal-scalenohedral | -31m; LatticeParameters = (8.51390982195735, 8.51390982195735, 45.242810079455374), (90.0, 90.0, 120.0)",-2.9638991355896
23,23,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 12, 'O': 9, 'F': 16, 'Mg': 8, 'Fe': 1}; SpaceGroup = 187 | P-6m2 | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -6m2; LatticeParameters = (8.843721563369035, 8.843721563369035, 36.38235222101211), (90.0, 90.0, 120.0)",-2.904751300811768
24,24,"Stage.LATTICE_PARAMETERS; Composition = {'O': 10, 'F': 13, 'Mg': 4, 'Si': 2, 'P': 3}; SpaceGroup = 189 | P-62m | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -62m; LatticeParameters = (3.620986737683415, 3.620986737683415, 73.93275901675224), (90.0, 90.0, 120.0)",-3.383808135986328
25,25,"Stage.LATTICE_PARAMETERS; Composition = {'H': 1, 'C': 1, 'O': 9, 'F': 13, 'Mg': 14}; SpaceGroup = 189 | P-62m | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -62m; LatticeParameters = (1.9301569356583057, 1.9301569356583057, 44.60443638265132), (90.0, 90.0, 120.0)",-3.277510404586792
26,26,"Stage.LATTICE_PARAMETERS; Composition = {'O': 6, 'F': 16, 'Mg': 5, 'Si': 5, 'P': 1}; SpaceGroup = 187 | P-6m2 | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -6m2; LatticeParameters = (4.934869202971458, 4.934869202971458, 19.607326649129387), (90.0, 90.0, 120.0)",-3.228334426879883
27,27,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 4, 'O': 7, 'F': 15, 'Mg': 6, 'P': 5}; SpaceGroup = 189 | P-62m | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -62m; LatticeParameters = (8.655578999966382, 8.655578999966382, 53.85803447961807), (90.0, 90.0, 120.0)",-3.229137897491455
28,28,"Stage.LATTICE_PARAMETERS; Composition = {'O': 8, 'F': 9, 'Mg': 16, 'Si': 3, 'Cl': 3}; SpaceGroup = 189 | P-62m | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -62m; LatticeParameters = (3.713030318729579, 3.713030318729579, 95.93676329255103), (90.0, 90.0, 120.0)",-3.0964808464050293
29,29,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 2, 'O': 9, 'F': 15, 'Si': 5, 'P': 2}; SpaceGroup = 189 | P-62m | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -62m; LatticeParameters = (10.850195321440696, 10.850195321440696, 31.92057644128799), (90.0, 90.0, 120.0)",-3.311621189117432
30,30,"Stage.LATTICE_PARAMETERS; Composition = {'O': 5, 'F': 11, 'Mg': 8, 'Si': 3, 'Cl': 2}; SpaceGroup = 189 | P-62m | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -62m; LatticeParameters = (15.271671819686889, 15.271671819686889, 87.57776198983193), (90.0, 90.0, 120.0)",-3.395078420639038
31,31,"Stage.LATTICE_PARAMETERS; Composition = {'C': 1, 'O': 9, 'F': 16, 'Mg': 14, 'Si': 3}; SpaceGroup = 189 | P-62m | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -62m; LatticeParameters = (3.5034644564613697, 3.5034644564613697, 67.08481685519219), (90.0, 90.0, 120.0)",-3.4180243015289307
32,32,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 10, 'O': 12, 'F': 14, 'Si': 5, 'P': 3}; SpaceGroup = 189 | P-62m | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -62m; LatticeParameters = (1.113700890284963, 1.113700890284963, 76.72158743143082), (90.0, 90.0, 120.0)",-3.293506860733032
33,33,"Stage.LATTICE_PARAMETERS; Composition = {'H': 2, 'O': 4, 'F': 14, 'Mg': 8, 'P': 4}; SpaceGroup = 102 | P4_2nm | tetragonal (4) | polar (3) | ditetragonal-pyramidal | 4mm; LatticeParameters = (17.014677026867865, 17.014677026867865, 17.484759506583213), (90.0, 90.0, 90.0)",-3.000410318374634
34,34,"Stage.LATTICE_PARAMETERS; Composition = {'C': 2, 'O': 10, 'F': 12, 'Mg': 4, 'Si': 10}; SpaceGroup = 107 | I4mm | tetragonal (4) | polar (3) | ditetragonal-pyramidal | 4mm; LatticeParameters = (9.397770970314742, 9.397770970314742, 42.897303295135494), (90.0, 90.0, 90.0)",-2.780640125274658
35,35,"Stage.LATTICE_PARAMETERS; Composition = {'F': 10, 'Mg': 10, 'S': 4}; SpaceGroup = 162 | P-31m | trigonal-hexagonal (6) | centrosymmetric (2) | ditrigonal-scalenohedral | -31m; LatticeParameters = (13.562375359237194, 13.562375359237194, 51.54111375212669), (90.0, 90.0, 120.0)",-2.773279190063477
36,36,"Stage.LATTICE_PARAMETERS; Composition = {'O': 15, 'F': 7, 'Mg': 10, 'Si': 1, 'Fe': 1}; SpaceGroup = 164 | P-3m1 | trigonal-hexagonal (6) | centrosymmetric (2) | ditrigonal-scalenohedral | -3m1; LatticeParameters = (7.1100461788475515, 7.1100461788475515, 52.58192502260208), (90.0, 90.0, 120.0)",-2.7474684715271
37,37,"Stage.LATTICE_PARAMETERS; Composition = {'O': 12, 'F': 9, 'Mg': 9, 'Si': 1, 'Cl': 5}; SpaceGroup = 3 | P121 | monoclinic (2) | enantiomorphic-polar (1) | sphenoidal | 2; LatticeParameters = (6.40788657553494, 23.923574620485304, 41.36683138906955), (90.0, 131.03504180908203, 90.0)",-2.157095432281494
38,38,"Stage.LATTICE_PARAMETERS; Composition = {'H': 6, 'O': 12, 'F': 16, 'Si': 8, 'P': 2}; SpaceGroup = 189 | P-62m | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -62m; LatticeParameters = (1.383336692256853, 1.383336692256853, 88.39973738193513), (90.0, 90.0, 120.0)",-3.1664834022521973
39,39,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 9, 'O': 16, 'F': 7, 'Mg': 15, 'Fe': 1}; SpaceGroup = 162 | P-31m | trigonal-hexagonal (6) | centrosymmetric (2) | ditrigonal-scalenohedral | -31m; LatticeParameters = (7.934668564796448, 7.934668564796448, 33.77401851415634), (90.0, 90.0, 120.0)",-2.842526435852051
40,40,"Stage.LATTICE_PARAMETERS; Composition = {'O': 9, 'F': 13, 'Si': 4, 'P': 3, 'S': 1}; SpaceGroup = 187 | P-6m2 | hexagonal (7) | non-centrosymmetric (5) | ditrigonal-dipyramidal | -6m2; LatticeParameters = (6.68355455622077, 6.68355455622077, 94.84077641367912), (90.0, 90.0, 120.0)",-3.2202343940734863
41,41,"Stage.LATTICE_PARAMETERS; Composition = {'O': 12, 'F': 12, 'Mg': 8, 'Si': 5, 'S': 4}; SpaceGroup = 99 | P4mm | tetragonal (4) | polar (3) | ditetragonal-pyramidal | 4mm; LatticeParameters = (7.992110177129507, 7.992110177129507, 42.94762645065784), (90.0, 90.0, 90.0)",-3.0672006607055664
42,42,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 2, 'O': 9, 'F': 16, 'Si': 8, 'P': 4}; SpaceGroup = 10 | P12/m1 | monoclinic (2) | centrosymmetric (2) | prismatic | 2/m; LatticeParameters = (11.248447174578905, 12.485872127115726, 46.68236716091632), (90.0, 85.87241768836975, 90.0)",-3.1138429641723637
43,43,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 4, 'O': 11, 'F': 9, 'Mg': 6, 'Si': 4}; SpaceGroup = 147 | P-3 | trigonal-hexagonal (6) | centrosymmetric (2) | rhombohedral | -3; LatticeParameters = (6.354902028292417, 6.354902028292417, 49.4419597685337), (90.0, 90.0, 120.0)",-3.349163055419922
44,44,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 10, 'O': 3, 'F': 16, 'Si': 2, 'P': 3}; SpaceGroup = 147 | P-3 | trigonal-hexagonal (6) | centrosymmetric (2) | rhombohedral | -3; LatticeParameters = (8.42776844650507, 8.42776844650507, 33.712058922648424), (90.0, 90.0, 120.0)",-3.113736152648926
45,45,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 2, 'N': 1, 'O': 7, 'F': 12, 'Mg': 12}; SpaceGroup = 147 | P-3 | trigonal-hexagonal (6) | centrosymmetric (2) | rhombohedral | -3; LatticeParameters = (3.183101966232061, 3.183101966232061, 21.50395939201116), (90.0, 90.0, 120.0)",-3.2066774368286133
46,46,"Stage.LATTICE_PARAMETERS; Composition = {'O': 16, 'Mg': 14, 'P': 1, 'S': 2, 'Cl': 10}; SpaceGroup = 10 | P12/m1 | monoclinic (2) | centrosymmetric (2) | prismatic | 2/m; LatticeParameters = (1.6669205504935234, 16.42192465662956, 18.585832157731055), (90.0, 118.28141212463379, 90.0)",-2.640094041824341
47,47,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 13, 'O': 11, 'F': 15, 'Mg': 8, 'Si': 3}; SpaceGroup = 147 | P-3 | trigonal-hexagonal (6) | centrosymmetric (2) | rhombohedral | -3; LatticeParameters = (6.968809306249023, 6.968809306249023, 78.92022998929023), (90.0, 90.0, 120.0)",-3.249837636947632
48,48,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 2, 'C': 2, 'O': 12, 'F': 6, 'Mg': 11}; SpaceGroup = 3 | P121 | monoclinic (2) | enantiomorphic-polar (1) | sphenoidal | 2; LatticeParameters = (8.312377235293388, 5.761962485685944, 19.41369369626045), (90.0, 71.47262841463089, 90.0)",-2.956782817840576
49,49,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 2, 'O': 2, 'F': 11, 'Mg': 3, 'Si': 8}; SpaceGroup = 10 | P12/m1 | monoclinic (2) | centrosymmetric (2) | prismatic | 2/m; LatticeParameters = (18.85720624923706, 17.166151526570317, 20.62981348633766), (90.0, 123.98636937141418, 90.0)",-2.5394082069396973
50,50,"Stage.LATTICE_PARAMETERS; Composition = {'O': 16, 'F': 5, 'Mg': 8, 'Si': 1, 'S': 3}; SpaceGroup = 147 | P-3 | trigonal-hexagonal (6) | centrosymmetric (2) | rhombohedral | -3; LatticeParameters = (6.3820080574601885, 6.3820080574601885, 35.991040143370626), (90.0, 90.0, 120.0)",-2.8469066619873047
51,51,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 9, 'O': 10, 'F': 13, 'Mg': 4, 'P': 3}; SpaceGroup = 10 | P12/m1 | monoclinic (2) | centrosymmetric (2) | prismatic | 2/m; LatticeParameters = (2.6524897146970035, 2.055939905066043, 66.89012215137483), (90.0, 81.27088248729706, 90.0)",-3.082106351852417
52,52,"Stage.LATTICE_PARAMETERS; Composition = {'O': 10, 'F': 16, 'Mg': 10, 'P': 5, 'Fe': 1}; SpaceGroup = 99 | P4mm | tetragonal (4) | polar (3) | ditetragonal-pyramidal | 4mm; LatticeParameters = (9.343648252636195, 9.343648252636195, 54.56605549454689), (90.0, 90.0, 90.0)",-3.093479633331299
53,53,"Stage.LATTICE_PARAMETERS; Composition = {'O': 11, 'F': 15, 'Si': 3, 'Cl': 4, 'Fe': 12}; SpaceGroup = 147 | P-3 | trigonal-hexagonal (6) | centrosymmetric (2) | rhombohedral | -3; LatticeParameters = (8.16530553176999, 8.16530553176999, 37.234236797690386), (90.0, 90.0, 120.0)",-2.581085681915283
54,54,"Stage.LATTICE_PARAMETERS; Composition = {'O': 11, 'F': 12, 'Mg': 12, 'S': 7, 'Cl': 4}; SpaceGroup = 162 | P-31m | trigonal-hexagonal (6) | centrosymmetric (2) | ditrigonal-scalenohedral | -31m; LatticeParameters = (8.235120455920695, 8.235120455920695, 42.078951737284655), (90.0, 90.0, 120.0)",-2.681939125061035
55,55,"Stage.LATTICE_PARAMETERS; Composition = {'O': 11, 'F': 15, 'Mg': 7, 'Si': 4, 'P': 3}; SpaceGroup = 147 | P-3 | trigonal-hexagonal (6) | centrosymmetric (2) | rhombohedral | -3; LatticeParameters = (10.788591615855694, 10.788591615855694, 69.53685019016267), (90.0, 90.0, 120.0)",-3.466471672058105
56,56,"Stage.LATTICE_PARAMETERS; Composition = {'O': 6, 'F': 15, 'Si': 7, 'S': 1}; SpaceGroup = 150 | P321 | trigonal-hexagonal (6) | enantiomorphic (4) | trigonal-trapezohedral | 321; LatticeParameters = (10.500674735754728, 10.500674735754728, 91.76182270646095), (90.0, 90.0, 120.0)",-3.6016504764556885
57,57,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 1, 'O': 8, 'F': 15, 'Si': 5, 'Cl': 1}; SpaceGroup = 147 | P-3 | trigonal-hexagonal (6) | centrosymmetric (2) | rhombohedral | -3; LatticeParameters = (1.5718006236013025, 1.5718006236013025, 29.97094770669937), (90.0, 90.0, 120.0)",-2.4772591590881348
58,58,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 2, 'O': 8, 'F': 11, 'Mg': 5, 'Si': 8}; SpaceGroup = 6 | P1m1 | monoclinic (2) | polar (3) | domatic | m; LatticeParameters = (3.0296527426689863, 8.012030928581952, 5.590095796436072), (90.0, 77.53911018371582, 90.0)",-3.0654537677764893
59,59,"Stage.LATTICE_PARAMETERS; Composition = {'O': 6, 'F': 16, 'Mg': 2, 'P': 6, 'Fe': 5}; SpaceGroup = 147 | P-3 | trigonal-hexagonal (6) | centrosymmetric (2) | rhombohedral | -3; LatticeParameters = (10.989439011365175, 10.989439011365175, 67.58139142394066), (90.0, 90.0, 120.0)",-2.848909378051758
60,60,"Stage.LATTICE_PARAMETERS; Composition = {'C': 2, 'O': 15, 'F': 15, 'Mg': 4, 'Si': 4}; SpaceGroup = 147 | P-3 | trigonal-hexagonal (6) | centrosymmetric (2) | rhombohedral | -3; LatticeParameters = (1.8450924473814667, 1.8450924473814667, 67.27447894811631), (90.0, 90.0, 120.0)",-2.5522775650024414
61,61,"Stage.LATTICE_PARAMETERS; Composition = {'C': 2, 'O': 11, 'F': 15, 'Mg': 13, 'Fe': 3}; SpaceGroup = 147 | P-3 | trigonal-hexagonal (6) | centrosymmetric (2) | rhombohedral | -3; LatticeParameters = (5.066459868848324, 5.066459868848324, 91.67464394569397), (90.0, 90.0, 120.0)",-3.26853084564209
62,62,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 4, 'O': 13, 'F': 13, 'Mg': 16, 'S': 2}; SpaceGroup = 6 | P1m1 | monoclinic (2) | polar (3) | domatic | m; LatticeParameters = (4.295476948842406, 1.3635918994434177, 95.85790133476257), (90.0, 125.58853030204773, 90.0)",-3.301055908203125
63,63,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 4, 'F': 15, 'P': 5, 'Cl': 5, 'Fe': 1}; SpaceGroup = 162 | P-31m | trigonal-hexagonal (6) | centrosymmetric (2) | ditrigonal-scalenohedral | -31m; LatticeParameters = (12.988711617141961, 12.988711617141961, 87.86990150809288), (90.0, 90.0, 120.0)",-2.808561086654663
64,64,"Stage.LATTICE_PARAMETERS; Composition = {'O': 14, 'F': 15, 'Mg': 11, 'Si': 8, 'Cl': 1}; SpaceGroup = 147 | P-3 | trigonal-hexagonal (6) | centrosymmetric (2) | rhombohedral | -3; LatticeParameters = (5.91058657541871, 5.91058657541871, 42.24922764599323), (90.0, 90.0, 120.0)",-3.3621957302093506
65,65,"Stage.LATTICE_PARAMETERS; Composition = {'O': 9, 'F': 16, 'Mg': 9, 'Si': 8, 'Cl': 2}; SpaceGroup = 150 | P321 | trigonal-hexagonal (6) | enantiomorphic (4) | trigonal-trapezohedral | 321; LatticeParameters = (1.931656529661268, 1.931656529661268, 6.100682081282139), (90.0, 90.0, 120.0)",-3.122730255126953
66,66,"Stage.LATTICE_PARAMETERS; Composition = {'N': 2, 'O': 5, 'F': 16, 'Mg': 7, 'Si': 9}; SpaceGroup = 3 | P121 | monoclinic (2) | enantiomorphic-polar (1) | sphenoidal | 2; LatticeParameters = (4.502832183614373, 9.793356632441283, 12.602838982641696), (90.0, 147.2634196281433, 90.0)",-2.9814839363098145
67,67,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 2, 'O': 8, 'F': 14, 'Si': 4, 'Fe': 10}; SpaceGroup = 192 | P6/mcc | hexagonal (7) | centrosymmetric (2) | dihexagonal-dipyramidal | 6/mmm; LatticeParameters = (5.52258453220129, 5.52258453220129, 4.845937593281269), (90.0, 90.0, 120.0)",-2.652966022491455
68,68,"Stage.LATTICE_PARAMETERS; Composition = {'H': 2, 'O': 10, 'F': 16, 'Mg': 16, 'P': 1}; SpaceGroup = 147 | P-3 | trigonal-hexagonal (6) | centrosymmetric (2) | rhombohedral | -3; LatticeParameters = (7.618672137707472, 7.618672137707472, 53.818535572290415), (90.0, 90.0, 120.0)",-3.331404209136963
69,69,"Stage.LATTICE_PARAMETERS; Composition = {'H': 3, 'O': 8, 'F': 13, 'Mg': 15, 'Si': 3}; SpaceGroup = 147 | P-3 | trigonal-hexagonal (6) | centrosymmetric (2) | rhombohedral | -3; LatticeParameters = (12.669798697531222, 12.669798697531222, 32.88930973708629), (90.0, 90.0, 120.0)",-3.0110177993774414
70,70,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 2, 'O': 12, 'F': 14, 'Si': 9, 'S': 2}; SpaceGroup = 162 | P-31m | trigonal-hexagonal (6) | centrosymmetric (2) | ditrigonal-scalenohedral | -31m; LatticeParameters = (8.108007159829139, 8.108007159829139, 74.2580889582634), (90.0, 90.0, 120.0)",-3.3265740871429443
71,71,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 11, 'O': 5, 'F': 16, 'Mg': 9, 'P': 1}; SpaceGroup = 6 | P1m1 | monoclinic (2) | polar (3) | domatic | m; LatticeParameters = (13.806824687123298, 17.225445665419098, 12.561940897256136), (90.0, 106.62245750427246, 90.0)",-3.113356113433838
72,72,"Stage.LATTICE_PARAMETERS; Composition = {'O': 6, 'F': 15, 'Mg': 16, 'S': 3, 'Cl': 1}; SpaceGroup = 156 | P3m1 | trigonal-hexagonal (6) | polar (3) | ditrigonal-pyramidal | 3m1; LatticeParameters = (7.393789152055978, 7.393789152055978, 35.211889198422426), (90.0, 90.0, 120.0)",-3.13891077041626
73,73,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 4, 'O': 10, 'F': 10, 'Si': 3, 'P': 2}; SpaceGroup = 147 | P-3 | trigonal-hexagonal (6) | centrosymmetric (2) | rhombohedral | -3; LatticeParameters = (7.229340321570635, 7.229340321570635, 65.75136989355087), (90.0, 90.0, 120.0)",-3.093381404876709
74,74,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 6, 'O': 4, 'F': 12, 'Mg': 2, 'Si': 4}; SpaceGroup = 82 | I-4 | tetragonal (4) | non-centrosymmetric (5) | tetragonal-disphenoidal | -4; LatticeParameters = (1.9784610661678017, 1.9784610661678017, 93.60731419920921), (90.0, 90.0, 90.0)",-3.4341824054718018
75,75,"Stage.LATTICE_PARAMETERS; Composition = {'H': 2, 'Li': 8, 'O': 6, 'F': 14, 'Mg': 4}; SpaceGroup = 102 | P4_2nm | tetragonal (4) | polar (3) | ditetragonal-pyramidal | 4mm; LatticeParameters = (4.3316433019936085, 4.3316433019936085, 65.88656519651413), (90.0, 90.0, 90.0)",-2.798791646957397
76,76,"Stage.LATTICE_PARAMETERS; Composition = {'Li': 1, 'O': 10, 'F': 16, 'Mg': 4, 'Si': 4}; SpaceGroup = 147 | P-3 | trigonal-hexagonal (6) | centrosymmetric (2) | rhombohedral | -3; LatticeParameters = (1.6716797402128578, 1.6716797402128578, 54.19082473516464), (90.0, 90.0, 120.0)",-2.8836803436279297
