a,b,c,alpha,beta,gamma
10.229601,10.229601,10.229601,90.0,90.0,90.0
7.7100034,7.83752,23.955078,90.0,90.0,90.0
4.9543834,8.420433,8.56554,90.0,90.0,90.0
4.7140465,8.18359,6.5818686,90.0,90.194,90.0
6.587289,3.8137212,8.206022,90.0,106.31831,90.0
6.629415,8.6291485,9.647375,71.71635,76.853294,72.0484
3.0158222,4.2347274,11.898751,90.0,90.0,90.0
8.602869,8.602869,4.3925023,90.0,90.0,90.0
5.5741796,5.7757654,9.757572,90.0,124.8099,90.0
10.762847,6.244758,6.7605,90.0,121.86359,90.0
6.476434,8.695338,10.0152445,94.905624,90.26819,90.27026
9.828817,11.343857,16.231407,90.0,104.50304,90.0
3.9133105,3.9133105,38.059048,90.0,90.0,90.0
7.3272347,7.8926253,9.114261,93.27837,97.1197,91.12566
5.7371078,5.7530036,17.375202,90.0,90.0,90.0
9.802711,13.431585,16.963917,90.0,90.0,90.0
3.8384888,3.8384888,3.8384888,90.0,90.0,90.0
5.572144,5.750361,9.7435055,90.0,124.8619,90.0
4.2495875,12.512625,15.451481,90.0,90.0,90.0
15.964,15.964,15.666809,90.0,90.0,120.0
13.28112,10.312774,6.5568094,90.0,90.225426,90.0
8.985798,8.985798,14.663929,90.0,90.0,90.0
9.682763,9.682763,10.018627,90.0,90.0,120.0
8.702994,4.9090075,11.560322,90.0,126.10766,90.0
7.5760593,7.5923142,8.373236,90.59428,89.994,114.83844
15.046922,15.046922,16.28741,90.0,90.0,90.0
4.1588683,12.121517,13.595123,90.0,90.0,90.0
6.362955,6.3882194,6.3949986,109.4032,109.40854,109.35295
4.1158586,21.582207,4.097796,90.0,90.0,90.0
13.71679,3.535106,6.3895416,90.0,115.71824,90.0
11.896832,12.6278715,17.854227,90.0,90.0,90.0
10.86158,5.983149,5.9884434,90.0,123.41719,90.0
5.232348,5.9155855,7.2507973,77.760635,70.144485,74.38056
10.2543335,10.60426,10.981009,78.305214,79.88855,79.54008
4.962006,4.962006,12.876647,90.0,90.0,90.0
2.62714,2.62714,8.239244,90.0,90.0,120.0
8.289405,5.7923446,15.482888,90.0,114.91288,90.0
9.878917,5.9010353,13.97005,90.0,134.39755,90.0
8.309413,8.335527,8.389196,89.88641,89.842476,89.6784
11.150017,11.150017,11.150017,90.0,90.0,90.0
3.047563,3.0481644,6.5430455,77.10086,76.91004,60.022026
4.846757,7.0250835,8.790398,90.0,90.0,90.0
6.436501,6.436501,15.830996,90.0,90.0,120.0
4.032647,5.573515,11.952097,90.0,90.0,90.0
10.413096,10.413096,10.413096,90.0,90.0,90.0
5.9816985,9.589018,13.0356655,68.97508,84.262825,84.48354
9.692403,9.692403,9.692403,90.0,90.0,90.0
21.12958,2.9274786,9.792577,90.0,107.54904,90.0
7.5591707,7.559546,18.572853,89.99248,89.989296,60.007015
6.2318506,11.186367,4.9294915,90.0,90.0,90.0
3.9465463,3.9465463,3.1359093,90.0,90.0,90.0
4.321601,10.245713,17.966225,90.0,90.0,90.0
3.9405956,3.9405956,11.261043,90.0,90.0,120.0
6.643176,8.649506,10.018016,91.92029,90.13945,90.35214
6.8567247,6.8567247,5.261891,90.0,90.0,120.0
4.619526,22.494984,14.155022,90.0,90.72397,90.0
13.227684,13.227684,5.0800962,90.0,90.0,90.0
5.121677,5.121677,5.121677,90.0,90.0,90.0
10.912455,6.332325,12.541579,90.0,100.84163,90.0
7.5355067,7.5355067,3.962002,90.0,90.0,120.0
6.8347173,6.8347173,6.8347173,90.0,90.0,90.0
5.3328795,8.181938,11.658924,90.0,90.0,90.0
5.45058,5.45058,11.66735,90.0,90.0,90.0
5.059459,6.835758,10.112097,90.0,90.0,90.0
8.624612,8.624612,8.675413,90.0,90.0,90.0
4.468002,4.468002,8.604099,90.0,90.0,120.0
6.836277,7.930841,10.448201,92.583046,106.139915,105.674355
5.331459,5.6098466,9.359499,90.0,124.582504,90.0
14.920822,14.920822,14.920822,90.0,90.0,90.0
10.174143,10.174143,10.174143,90.0,90.0,90.0
6.204016,6.457781,7.5667343,90.0,90.0,90.0
4.0060253,4.1602187,16.109114,90.0,90.0,90.0
6.661081,6.661081,8.021792,90.0,90.0,90.0
4.0905004,14.341336,9.296504,90.0,90.0,90.0
7.3610697,7.3610697,17.978968,90.0,90.0,120.0
2.871271,2.871271,20.178051,90.0,90.0,90.0
3.4035566,4.828157,4.7902317,90.0,90.0,90.0
6.0042176,7.58981,9.0843525,90.0,90.0,90.0
8.721411,8.721411,26.144718,90.0,90.0,90.0
4.3850484,7.244213,8.469443,90.0,90.0,90.0
10.573293,10.573293,10.573293,90.0,90.0,90.0
7.9201207,7.9201207,4.0625267,90.0,90.0,120.0
9.406718,9.544895,4.766527,90.0,90.0,90.0
6.628723,8.936982,9.117098,85.07909,81.575516,68.42109
8.420376,9.215457,10.855518,90.0,90.0,90.0
19.52658,5.7836204,5.1846056,90.0,98.78408,90.0
14.026274,14.026274,14.026274,90.0,90.0,90.0
7.225268,7.225268,7.225268,90.0,90.0,90.0
9.874877,2.974649,5.009706,90.0,101.62677,90.0
5.7882576,5.7882576,5.7882576,90.0,90.0,90.0
3.3447573,7.284504,7.330016,88.29437,101.03835,101.725365
2.5107067,4.3531427,6.9974766,90.0,90.0,90.0
8.386601,18.833876,15.630447,90.0,119.15232,90.0
8.491211,8.491211,8.491211,90.0,90.0,90.0
8.80114,8.80114,5.0410933,90.0,90.0,90.0
6.227126,6.2347813,17.15059,90.0,90.0,90.0
9.924648,9.924648,8.925535,90.0,90.0,90.0
8.102475,8.141403,8.305331,89.88061,89.75892,89.96893
3.8642888,3.8642888,12.35273,90.0,90.0,90.0
9.6663065,9.6663065,18.308807,90.0,90.0,120.0
4.7045555,4.7045555,10.410544,90.0,90.0,120.0
3.531236,3.531236,4.9114475,90.0,90.0,90.0
5.4828553,3.15138,7.634282,90.0,93.75544,90.0
4.765631,8.735613,14.665064,90.0,104.27099,90.0
5.374537,8.854309,9.435999,90.0,101.84988,90.0
9.774109,9.785999,14.025817,89.58629,89.695564,60.14418
7.7033873,7.884273,24.079317,90.0,90.0,90.0
4.069748,4.069748,14.974556,90.0,90.0,90.0
3.3190722,3.3895729,18.904716,90.0,90.0,90.0
8.778059,9.242267,15.096875,90.0,90.0,90.0
6.017235,6.017235,6.017235,90.0,90.0,90.0
5.1320376,13.027077,4.5318403,90.0,90.0,90.0
9.06855,5.172314,15.518429,90.0,108.25793,90.0
4.2140694,11.566147,13.089366,90.0,90.0,90.0
11.587777,15.852921,11.23354,90.0,90.0,90.0
7.3181615,7.3181615,17.750929,90.0,90.0,90.0
5.843009,11.360776,10.574759,90.0,104.48264,90.0
6.6912303,6.6912303,6.6912303,90.0,90.0,90.0
6.3019247,6.3019247,8.851032,90.0,90.0,90.0
9.525592,9.5541115,10.860714,110.10449,109.10599,89.920525
3.9098415,3.9098415,12.099018,90.0,90.0,90.0
9.335234,11.6083145,23.147783,89.91308,89.94539,89.99199
6.1303797,6.1303797,3.3031943,90.0,90.0,90.0
3.3825746,3.3825746,38.401512,90.0,90.0,120.0
10.212156,5.751357,5.8446064,90.0,123.99322,90.0
7.449471,7.449471,14.536701,90.0,90.0,120.0
5.5356693,5.549035,7.932701,97.1354,109.62239,110.22637
7.5489645,7.9544683,14.817023,90.0,90.0,90.0
5.085921,5.085921,5.085921,90.0,90.0,90.0
10.202519,10.202519,10.035425,90.0,90.0,120.0
8.462317,4.7462225,9.253936,90.0,90.49567,90.0
4.995788,2.8135192,5.1360693,90.0,108.78233,90.0
3.0024693,3.0024693,3.8611617,90.0,90.0,90.0
5.9101825,5.9101825,14.605204,90.0,90.0,120.0
4.2108927,4.2108927,8.490937,90.0,90.0,90.0
6.0786867,7.778053,9.185855,114.75812,108.39146,88.57774
5.260156,8.565431,6.2813315,90.0,90.0817,90.0
19.571184,19.571184,10.700234,90.0,90.0,120.0
9.145505,9.145505,22.35983,90.0,90.0,120.0
3.724375,7.4584155,19.582296,95.29315,94.26236,89.9963
8.334976,4.6718874,4.7941117,90.0,118.82316,90.0
7.9656672,9.365765,9.329634,90.0,110.45606,90.0
4.7620344,13.9869375,5.11773,90.0,103.180504,90.0
3.731024,17.383055,5.5649295,90.0,90.0,90.0
7.7443614,14.668921,14.6363325,90.0,90.0,90.0
7.657079,7.657079,5.894837,90.0,90.0,120.0
6.32563,16.10275,10.739565,90.0,109.57662,90.0
10.888083,11.021626,15.390716,90.0,90.0,90.0
7.9357696,12.417482,13.910119,108.295395,103.29686,101.50299
10.034784,9.940899,19.404324,90.0,103.74134,90.0
6.660664,8.69391,11.832999,90.0,90.0,90.0
5.677626,23.381323,36.052776,90.0,90.0,90.0
8.9476795,15.522446,3.8585002,90.0,90.0,90.0
7.4980206,7.4980206,7.4980206,90.0,90.0,90.0
5.229505,7.488577,8.31241,90.0,92.63335,90.0
13.454722,9.709484,13.49195,90.0,118.17006,90.0
5.5804086,5.5804086,13.877229,90.0,90.0,120.0
3.712752,3.712752,25.668617,90.0,90.0,120.0
10.409699,5.9413652,9.757105,90.0,91.6057,90.0
7.8518677,8.369542,10.906978,90.0,90.0,90.0
6.7360897,11.352599,5.252517,90.0,90.0,90.0
9.8150215,2.8935926,18.341969,90.0,97.98733,90.0
6.7063026,6.7063026,6.7063026,90.0,90.0,90.0
5.6246576,7.4383044,10.065277,90.0,90.0,90.0
2.363,2.363,10.686,90.0,90.0,120.0
6.7663565,8.751096,10.149921,91.0644,90.30447,91.085754
4.5487943,5.9141674,3.6819072,90.0,90.0,90.0
6.95179,7.086023,12.60242,76.535645,82.95,62.96007
4.916876,13.182395,15.769323,90.0,90.0,90.0
6.0896187,9.075542,15.331167,90.0,90.0,90.0
8.376569,9.067772,3.6293848,90.0,90.0,90.0
5.3198256,5.4817753,9.6016245,90.0,90.0,90.0
14.219414,3.1048844,14.273608,90.0,90.241936,90.0
8.002075,9.871508,3.8346503,90.0,90.0,90.0
5.46669,5.488089,7.1409383,108.695694,108.54107,95.642334
7.4024296,7.4024296,8.834711,90.0,90.0,120.0
6.8203626,11.254606,13.677495,90.0,90.0,90.0
6.5829077,6.5829077,12.009692,90.0,90.0,90.0
7.794053,8.6787,28.69451,90.0,90.0,90.0
6.3576074,6.3576074,6.3576074,90.0,90.0,90.0
5.2544055,6.1681275,6.3580227,80.717735,68.932175,67.64099
4.8761206,7.2044106,8.017157,89.48248,92.622826,106.69237
9.561455,9.561455,24.302431,90.0,90.0,120.0
6.0263367,6.0263367,7.241828,90.0,90.0,120.0
3.9453874,3.9453874,10.638348,90.0,90.0,90.0
6.191357,6.282975,8.435645,90.0,93.12398,90.0
11.219816,4.3429394,7.0230346,90.0,107.169624,90.0
5.9051137,7.4126754,8.245526,104.96433,93.781166,112.436195
9.703287,9.758474,14.356594,90.63454,89.925896,119.73591
5.794819,6.1896925,7.746167,90.0,90.0,90.0
4.440342,4.440342,8.8413,90.0,90.0,90.0
6.551254,8.23491,13.777608,90.0,90.0,90.0
10.279648,13.383426,12.309878,90.0,90.0,90.0
2.7579613,2.7579613,4.3221374,90.0,90.0,120.0
7.6178913,7.8221564,7.7528377,90.0,90.045586,90.0
5.7495956,5.9071674,6.301957,100.49297,100.761444,97.6297
5.290673,6.190399,11.787185,84.53091,78.93544,87.36213
4.8744674,6.340134,8.530868,90.0,95.16697,90.0
4.7682285,6.1014476,10.4328575,90.0,90.10192,90.0
5.6362276,5.6827145,9.8346615,89.21589,106.581474,119.51227
11.366907,3.8993587,14.771708,90.0,104.61458,90.0
5.9316134,5.9316134,5.9316134,90.0,90.0,90.0
5.853242,5.9444633,10.158576,90.0,124.985466,90.0
6.590883,20.360592,6.616518,90.0,119.166824,90.0
10.9262495,4.9984465,6.6475964,90.0,120.670876,90.0
4.2359576,4.2359576,8.807498,90.0,90.0,90.0
9.454405,9.555862,9.618258,89.73511,89.205734,89.3041
4.679935,7.3893285,7.7971964,90.0,90.0,90.0
9.286064,9.305079,9.308708,68.4873,68.518456,68.5799
6.2321033,6.2321033,15.822542,90.0,90.0,120.0
4.5703125,4.5703125,7.2505183,90.0,90.0,120.0
4.898373,4.898373,14.478964,90.0,90.0,120.0
5.9465284,5.9465284,14.734179,90.0,90.0,120.0
4.342745,4.3144445,10.028949,90.0,90.61051,90.0
4.0202637,4.0202637,7.537179,90.0,90.0,120.0
5.799594,10.956737,17.079948,90.0,90.0,90.0
6.571896,6.571896,5.8677564,90.0,90.0,120.0
5.1592727,5.1605926,10.196685,81.81622,85.53456,60.087746
7.1811123,7.1811123,7.3259077,90.0,90.0,120.0
4.9252462,8.042953,9.218785,105.95563,87.44466,99.909096
4.278671,8.611975,8.619699,90.0,90.0,90.0
4.131155,4.8229036,11.498535,90.0,90.0,90.0
5.6210027,8.9365225,12.105756,87.296814,76.813385,79.76869
12.235692,12.235692,12.235692,90.0,90.0,90.0
10.936706,10.936706,10.936706,90.0,90.0,90.0
5.426133,16.594662,20.735924,90.0,104.82667,90.0
12.209681,10.081993,12.661772,90.0,95.06881,90.0
6.58205,6.58205,15.566925,90.0,90.0,120.0
7.3543525,7.3543525,7.3543525,90.0,90.0,90.0
3.3853998,4.5690346,22.575459,90.0,90.0,90.0
7.345295,11.611733,16.173302,90.0,90.0,90.0
5.5070047,9.7221365,14.541468,90.0,90.0,90.0
13.1053095,8.668713,5.752216,90.0,91.311295,90.0
5.04186,5.04186,15.872831,90.0,90.0,120.0
12.190958,8.639428,10.319461,90.0,119.30297,90.0
2.9425154,6.6656075,7.753199,90.949905,97.20436,102.53136
5.4602957,5.4602957,5.4602957,90.0,90.0,90.0
14.477043,14.477043,7.555927,90.0,90.0,90.0
7.8634295,7.8634295,5.482911,90.0,90.0,90.0
7.2628922,7.2628922,10.229142,90.0,90.0,90.0
2.9428227,9.895004,14.962032,90.0,90.0,90.0
4.2616296,8.570342,8.591631,90.0,90.0,90.0
7.287041,11.743765,13.069596,90.0,122.36558,90.0
6.3373194,11.482796,10.466416,90.0,90.0,90.0
8.493637,7.7286224,17.191107,90.0,118.97997,90.0
9.960882,9.960882,31.266335,90.0,90.0,90.0
3.1612043,10.348372,15.612108,90.0,90.0,90.0
9.740456,9.768457,14.262199,90.1099,90.25264,119.73557
13.393319,13.393319,13.393319,90.0,90.0,90.0
14.033351,14.165647,9.901158,90.0,134.68117,90.0
4.2751455,10.63689,7.040259,90.0,90.0,90.0
9.417342,6.30364,9.693461,90.0,114.7336,90.0
7.232315,7.232315,5.742124,90.0,90.0,120.0
12.15823,12.81536,18.45912,90.0,90.0,90.0
3.3921332,3.3921332,38.76556,90.0,90.0,120.0
6.2223067,6.2223067,6.2223067,90.0,90.0,90.0
11.533384,11.533384,11.533384,90.0,90.0,90.0
4.852341,9.829283,10.211613,67.862755,82.132385,79.47687
14.799355,6.765629,16.716692,90.0,122.43268,90.0
4.9368634,4.9368634,8.512789,90.0,90.0,120.0
5.023199,7.714796,8.683164,114.51071,90.267395,89.93395
5.132856,5.4930696,9.076365,69.79245,73.60765,62.23227
5.2370014,5.254547,7.253863,105.06757,108.90847,98.111916
5.2211165,14.631693,9.391411,90.0,104.71501,90.0
5.252657,5.4978485,6.1265407,73.465065,82.469955,66.370674
6.8830976,6.8830976,33.801666,90.0,90.0,120.0
12.797665,12.797665,4.1998296,90.0,90.0,90.0
4.3012085,4.3012085,25.504051,90.0,90.0,90.0
3.500311,3.500311,39.599174,90.0,90.0,120.0
4.0572224,4.0572224,10.356037,90.0,90.0,90.0
5.9894276,5.9894276,17.328886,90.0,90.0,120.0
5.691733,5.7011495,12.791092,90.0,115.94068,90.0
2.8740945,2.8740945,14.087829,90.0,90.0,120.0
7.3479476,7.937996,17.579693,90.0,90.0,90.0
11.088926,11.462175,17.730663,108.79245,108.17279,90.09954
8.58166,9.603531,7.517869,90.0,90.0,90.0
6.4482713,6.4482713,6.4482713,90.0,90.0,90.0
5.4920783,5.610757,15.752834,90.0,90.0,90.0
6.8697863,10.264746,9.441415,90.0,104.567245,90.0
10.007549,10.007549,10.187527,90.0,90.0,120.0
8.772902,10.126417,10.342463,90.0,90.0,90.0
14.161194,3.1153235,14.255666,90.0,90.07488,90.0
7.76295,11.006992,8.749136,90.0,106.0774,90.0
13.202441,18.736032,16.201687,90.0,113.872284,90.0
3.7688458,6.361207,7.1736574,90.0,90.0,90.0
6.760079,6.760079,5.4324374,90.0,90.0,120.0
4.0429077,16.037737,4.018065,90.0,90.0,90.0
3.719512,11.318606,13.321014,90.16597,90.02137,90.1185
13.767598,18.800138,9.9296055,90.0,96.11999,90.0
5.135299,6.0651364,9.986175,90.0,92.37287,90.0
6.981226,6.981226,6.981226,90.0,90.0,90.0
3.3101773,11.010721,15.556947,90.0,90.0,90.0
5.2689285,2.896323,24.651243,90.0,91.70397,90.0
6.9892917,7.2796836,8.855614,90.0,90.0,90.0
9.089173,8.208844,9.283522,90.0,103.50792,90.0
3.4744406,8.968483,11.316746,90.0,90.0,90.0
7.7946453,7.7946453,5.300213,90.0,90.0,120.0
9.845556,5.723875,23.288013,90.0,98.163055,90.0
9.840272,8.844933,5.02034,90.0,99.475624,90.0
7.407139,12.381678,7.849261,90.0,104.46119,90.0
3.6126335,3.6126335,58.82043,90.0,90.0,120.0
8.892153,8.892153,8.892153,90.0,90.0,90.0
9.137622,9.144883,11.609925,88.55208,113.17308,119.92109
8.693552,8.803351,8.902727,90.0,90.0,90.0
5.4746213,8.252104,18.747252,90.0,90.0,90.0
8.840513,8.909393,14.091149,90.0,125.32709,90.0
8.319727,9.316742,8.450695,90.0,115.79702,90.0
4.5608144,7.7284455,8.67842,90.0,90.0,90.0
3.9010592,3.9010592,12.940435,90.0,90.0,90.0
6.5048056,6.5048056,3.7376862,90.0,90.0,120.0
4.6154046,4.6154046,7.3411293,90.0,90.0,120.0
16.781366,16.781366,10.168198,90.0,90.0,120.0
17.985342,8.0334425,8.714139,90.0,98.02205,90.0
4.624365,6.043543,8.374315,90.0,93.73342,90.0
6.1729164,8.4578285,9.98243,104.60801,92.307274,92.333
4.54739,6.023327,3.6357682,90.0,90.0,90.0
4.4105353,7.058903,7.6268973,90.0,90.0,90.0
9.7331505,3.8449268,9.7786045,90.0,119.586716,90.0
11.791514,11.791514,7.1332226,90.0,90.0,90.0
7.6632624,7.743472,10.958152,90.0,111.069466,90.0
5.6217527,9.505371,12.833106,90.0,90.0,90.0
6.2064295,11.091517,10.233077,90.0,90.0,90.0
5.516569,4.70477,19.389318,90.0,105.40938,90.0
8.194294,8.194294,3.1587238,90.0,90.0,120.0
2.9145381,9.340872,12.292316,90.0,90.0,90.0
9.55427,9.55427,5.364118,90.0,90.0,120.0
8.75817,8.75817,12.059098,90.0,90.0,90.0
3.8804312,3.8804312,52.81969,90.0,90.0,90.0
11.845092,11.845092,11.845092,90.0,90.0,90.0
5.264529,8.713338,18.166595,90.0,90.0,90.0
4.992272,6.8714,8.07506,110.12188,92.4847,89.556435
5.1643505,9.1578865,10.030329,90.0,101.48448,90.0
5.744058,5.744058,11.700181,90.0,90.0,120.0
5.3362927,5.360179,15.485419,90.0,90.0,90.0
16.152529,3.8433495,9.238776,90.0,100.86867,90.0
3.7184591,3.7184591,45.190674,90.0,90.0,120.0
8.145069,8.145069,8.145069,90.0,90.0,90.0
6.9037185,6.9037185,10.75747,90.0,90.0,90.0
6.744414,6.744414,5.434569,90.0,90.0,90.0
6.5882645,9.284841,9.613868,90.0,133.21312,90.0
5.8052015,7.3854694,12.47526,90.0,90.0,90.0
3.4078329,12.959524,14.391762,90.0,90.0,90.0
5.783768,5.783768,11.509518,90.0,90.0,90.0
4.9735274,4.9735274,4.9735274,90.0,90.0,90.0
4.9569383,4.9569383,4.9569383,90.0,90.0,90.0
9.420509,11.819726,5.6446967,90.0,90.0,90.0
5.616624,5.616624,8.585543,90.0,90.0,120.0
6.851098,6.851098,6.851098,90.0,90.0,90.0
6.879862,9.453861,16.423435,90.0,90.0,90.0
6.339077,8.719724,8.772703,90.0,131.1106,90.0
5.705976,9.635337,10.703698,90.0,103.37511,90.0
3.5094595,3.5094595,3.5094595,90.0,90.0,90.0
5.477982,7.788791,5.5297675,90.0,90.21297,90.0
9.468024,9.482854,13.946238,90.01605,90.017654,119.93025
6.5971346,6.686655,10.51215,90.0,90.0,90.0
5.9565926,6.7307277,9.522457,92.14647,105.61269,91.48611
3.4013314,3.4013314,38.791836,90.0,90.0,120.0
3.7321274,6.558219,6.834385,90.0,90.0,90.0
21.246029,19.56187,6.791953,90.0,91.04043,90.0
6.416675,10.665586,4.96177,90.0,90.0,90.0
13.028477,7.3084025,12.618171,90.0,110.74692,90.0
4.142148,6.6652746,23.739338,89.873184,89.95049,89.79427
32.52365,5.549107,9.990756,90.0,107.27057,90.0
6.695066,6.695066,6.695066,90.0,90.0,90.0
3.0095186,5.018285,14.652011,82.26619,85.10563,88.489456
6.5282917,6.7723255,18.258095,90.0,90.0,90.0
7.819215,15.108477,4.8739066,90.0,90.0,90.0
4.1376386,5.283846,13.34798,90.0,90.0,90.0
5.4607587,9.701251,19.28602,90.0,90.0,90.0
4.137882,4.183613,17.608095,89.6265,89.70161,88.66628
9.368301,10.336108,9.121031,90.0,119.54079,90.0
4.0401225,4.06545,8.085696,90.0,90.0,90.0
10.998321,10.998321,3.7055044,90.0,90.0,120.0
10.188048,10.188048,10.188048,90.0,90.0,90.0
4.881272,6.3898544,10.589328,92.239395,91.61019,90.30276
11.549399,11.77959,11.91435,90.0,90.0,90.0
12.849797,12.891187,18.186949,90.0,90.0,90.0
12.648675,7.4542913,7.7645874,90.0,102.91871,90.0
8.653828,8.653828,6.831802,90.0,90.0,120.0
8.350101,8.350101,12.550946,90.0,90.0,120.0
6.3293853,11.399688,15.805379,77.545204,82.17756,83.08202
12.482665,5.0376854,13.044277,90.0,118.22435,90.0
6.1456933,10.895674,4.542694,90.0,90.0,90.0
3.472834,3.472834,3.472834,90.0,90.0,90.0
4.3571014,4.8613048,5.452125,90.0,90.0,90.0
8.0442,8.0442,8.0442,90.0,90.0,90.0
8.457801,7.8755403,21.31996,90.0,108.353134,90.0
8.241331,8.418308,10.6815405,108.00813,95.932945,100.218414
7.192317,7.1952095,9.730384,99.22461,109.19655,109.83414
5.03543,5.8772073,7.8515277,78.21382,78.52044,72.512955
7.371164,7.3917584,9.670739,90.0,108.31065,90.0
7.197958,7.619237,10.033459,90.623116,108.734,117.28825
17.901272,3.9894652,19.328669,90.0,112.160866,90.0
6.3925104,6.6966662,12.699094,88.12814,86.58641,61.587334
11.752261,11.752261,11.752261,90.0,90.0,90.0
2.8943346,2.8943346,2.8750362,90.0,90.0,90.0
5.208935,5.208935,34.57784,90.0,90.0,90.0
6.869018,9.908942,16.66109,90.0,90.0,90.0
12.015881,5.786451,9.217909,90.0,94.06296,90.0
10.238041,4.582229,15.729219,90.0,115.95365,90.0
5.980744,10.31275,14.873735,90.0,92.201706,90.0
3.3360012,3.3360012,8.836528,90.0,90.0,120.0
4.9060187,4.9060187,4.9060187,90.0,90.0,90.0
8.182732,8.182732,4.7164445,90.0,90.0,120.0
6.5704937,6.5704937,7.908589,90.0,90.0,90.0
6.666282,6.669638,6.6750875,90.0,90.15212,90.0
5.039067,5.105266,11.797686,91.1484,92.07247,108.20263
5.5967355,5.5967355,8.315492,90.0,90.0,90.0
13.628733,8.009986,20.174469,90.0,106.35679,90.0
5.1091228,5.9091167,10.047503,104.54126,100.40606,90.92338
4.400448,6.6988072,18.289482,90.11202,90.110016,90.22753
9.248581,5.5472403,15.621238,90.0,104.28441,90.0
10.676931,10.676931,10.676931,90.0,90.0,90.0
5.33193,11.059631,11.45147,90.0,90.0,90.0
10.220841,10.220841,3.7324815,90.0,90.0,90.0
8.419194,8.834383,12.477438,89.141846,88.119026,89.88985
12.671718,7.3107333,12.230852,90.0,110.21455,90.0
8.622128,8.622128,20.916637,90.0,90.0,120.0
6.010395,6.010395,15.184212,90.0,90.0,120.0
3.8752775,11.996822,9.187064,90.0,90.0,90.0
6.3461337,11.055883,5.181552,90.0,90.0,90.0
4.276366,4.276366,9.221553,90.0,90.0,90.0
3.028485,4.2528257,10.252057,90.0,90.0,90.0
5.8233733,5.8233733,9.373949,90.0,90.0,90.0
3.5861359,11.761385,12.178813,90.0,90.0,90.0
7.01382,7.01382,7.01382,90.0,90.0,90.0
5.4192524,5.8921995,5.696137,90.0,91.98497,90.0
4.85594,5.8184724,16.055992,89.570786,89.66758,86.433205
6.8741703,6.946637,7.0330477,85.81097,65.11895,84.58095
7.53671,7.8216996,10.864208,90.0,90.0,90.0
3.9833534,3.9833534,31.58354,90.0,90.0,90.0
3.8674839,3.8674839,18.65574,90.0,90.0,120.0
5.7593594,10.383141,13.356183,90.0,90.0,90.0
10.294089,11.231374,11.252343,90.0,90.0,90.0
7.2439938,7.318706,10.267384,90.0,90.0,90.0
9.528016,6.8399405,9.342013,90.0,91.08749,90.0
13.559478,7.8338842,10.773483,90.0,116.20758,90.0
7.277121,10.367622,14.164591,90.0,90.0,90.0
3.3995082,3.3995082,38.890446,90.0,90.0,120.0
